,cast,genres,keywords,production_companies,production_countries,title
3258,JenniferAniston JakeGyllenhaal ZooeyDeschanel JohnC.Reilly,Drama Comedy Romance,suicide sex jealousy dream blackmail lie nudity motel marriage faith drug extramaritalaffair store,FoxSearchlightPictures HungryEyeLowlandPicturesB.V. FlandeCocoFilms,Netherlands Germany UnitedStatesofAmerica,The Good Girl
3259,PatrickHuard ColmFeore MichelBeaudry PatriceBélanger,Action Comedy Crime,canada police murder killer buddycop,ParkExPictures Sortie22,Canada,Bon Cop Bad Cop
3260,SeanPatrickFlanery NormanReedus BillyConnolly CliftonCollinsJr,Action Thriller Crime,boston sheep friendship sequel revenge ireland,ChrisBrinkerProductions Stage6Films,UnitedStatesofAmerica,The Boondock Saints II: All Saints Day
3261,NicholasBlandullo SofiaViruboff OmarMetwally AlexandraMariaLara,Drama,basedonnovel uruguay,HydeParkFilms,UnitedStatesofAmerica,The City of Your Final Destination
3262,JuliaLouis-Dreyfus CatherineKeener JamesGandolfini ToniCollette,Comedy Drama Romance,masseuse thanksgiving party romance motherdaughterrelationship dating relationship divorce divorcee womandirector massagetherapist,FoxSearchlightPictures,UnitedStatesofAmerica,Enough Said
3263,EmmaStone StanleyTucci AmandaBynes CamGigandet,Comedy,lie highschool school teenmovie rumor,ScreenGems OliveBridgeEntertainment,UnitedStatesofAmerica,Easy A
3264,LarenzTate JoeMorton SuzzanneDouglas GlynnTurman,Comedy Drama Romance,,TouchstonePictures,UnitedStatesofAmerica,The Inkwell
3265,JohnMalkovich WillemDafoe UdoKier CaryElwes,Drama Horror,filmdirector dracula  nosferatu,SaturnFilms,UnitedStatesofAmerica,Shadow of the Vampire
3266,AimeeTeegarden ThomasMcDonell NicholasBraun FaithFord,Comedy,singleparent waitress fountain friendship highschool prom musicfan,WaltDisneyPictures RickshawProductions,UnitedStatesofAmerica,Prom
3267,DavidSchwimmer GwynethPaltrow MichaelRapaport ToniCollette,Comedy Romance,independentfilm mistakenidentity,MiramaxFilms TheChessClub,UnitedStatesofAmerica,The Pallbearer
3268,JamieFoxx NiaLong BarryCorbin JohnCullum,Comedy,,,UnitedStatesofAmerica,Held Up
3269,PenélopeCruz MuriloBenicio MarkFeuerstein JohndeLancie,Comedy Drama Romance,womandirector,FoxSearchlightPictures,UnitedStatesofAmerica,Woman on Top
3270,VanessaRedgrave HelenaBonhamCarter EmmaThompson PrunellaScales,Drama Romance,basedonnovel sistersisterrelationship empowerment sister turnofthecentury edwardianengland,MerchantIvoryProductions TheCriterionCollection,UnitedKingdom,Howards End
3271,DavidThewlis JenniferJasonLeigh TomNoonan ,Animation Comedy Drama Romance,sex depression existentialism,StarburnsIndustries,UnitedStatesofAmerica,Anomalisa
3272,JimBroadbent LesleyManville RuthSheen OliverMaltman,Comedy Drama,jealousy cooking garden funeral season loneliness unrequitedlove redwine,Film4 ThinManFilms,UnitedKingdom,Another Year
3273,CatherineDeneuve IsabelleHuppert EmmanuelleBéart FannyArdant,Comedy Thriller Music Crime Mystery,upperclass women fathermurder daughter maid fatherfigure murderhunt,France2Cinéma FidélitéProductions LeStudioCanal+ CentreNationaldelaCinématographie Gimages5 MarsFilms,France Italy,8 femmes
3274,DolphLundgren BrandonLee Cary-HiroyukiTagawa TiaCarrere,Action Thriller,yakuza losangeles samuraisword,OriginalPictures WarnerBros.,UnitedStatesofAmerica,Showdown in Little Tokyo
3275,JoaquinPhoenix VinceVaughn JaneaneGarofalo GregorySporleder,Comedy Crime Drama Thriller,smalltown fbi widow murder independentfilm serialkiller,IntermediaFilms IMFInternationaleMedienundFilmGmbH&Co.2.ProduktionsKG FadeInFilms,Germany UnitedStatesofAmerica,Clay Pigeons
3276,KeirGilchrist EmmaRoberts ZachGalifianakis ViolaDavis,Comedy Drama,suicide depression independentfilm comingofage teenmovie teenager psychiatricward womandirector basedonyoungadultnovel,FocusFeatures,UnitedStatesofAmerica,It's Kind of a Funny Story
3277,SallyHawkins BobHoskins MirandaRichardson GeraldineJames,Comedy Drama History,machinist aftercreditsstinger duringcreditsstinger equalpay discrimination governmentminister sewingmachine,BBCFilms HanWayFilms UKFilmCouncil AudleyFilmsLLP LipsyncProductions Number9Films BMSFinance,UnitedKingdom,Made in Dagenham
3278,JimBroadbent ColinFirth JulietStevenson GinaMcKee,Drama,fathersonrelationship memory hospital confrontation family illness oldgirlfriend,IntandemFilms Film4 Number9Films TigerAspectPictures FatherFeatures AudleyFilms ComptomInvestments,Ireland UnitedKingdom,And When Did You Last See Your Father?
3279,JaredLeto R.LeeErmey EdO'Neill BreckinMeyer,Drama Romance,oregon olympicgames sport runner,HollywoodPictures,UnitedStatesofAmerica,Prefontaine
3280,FayeDunaway JohnGielgud DenholmElliott AlanBates,Drama Adventure,highwayman,CannonGroup London-CannonFilms Metro-Goldwyn-Mayer(MGM) DawnPropertyCompany,UnitedKingdom,The Wicked Lady
3281,EvanMcGuire ChristenMooney BrendanGleeson MickLally,Animation Family Fantasy,barbarian underwater trapped seamonster womandirector,GébékaFilms CartoonSaloon,Belgium France Ireland,The Secret of Kells
3282,MarkRuffalo KeiraKnightley AdamLevine HaileeSteinfeld,Comedy Music Romance Drama,,LikelyStory ApatowProductions ExclusiveMediaGroup SycamorePictures,UnitedStatesofAmerica,Begin Again
3283,EdwardNorton EvanRachelWood DavidMorse RoryCulkin,Drama Romance,indianterritory beach stetson sanfernandovalley strangeperson,Class5Films,UnitedStatesofAmerica,Down in the Valley
3284,AlecBaldwin PauloAraujo DanielTay TyThomasReed,Drama Action Thriller,,CityLightFilms,UnitedStatesofAmerica,Brooklyn Rules
3285,HayleyAtwell RufusSewell MichelleDockery MichaelGambon,TVMovie Romance Drama,spy war britishsecretservice,BritishBroadcastingCorporation(BBC) SundanceChannel EndorProductions,UnitedKingdom,Restless
3286,RobertDowneyJr. RobinWright MelGibson JeremyNortham,Comedy Music Mystery Crime,,IconProductions HaftEntertainment ParamountClassics AirborneProductions,UnitedStatesofAmerica,The Singing Detective
3287,CatherineMcCormack RachelWeisz AnnaFriel PaulBettany,Drama Romance War,,ChannelFourFilms IntermediaFilms GreenpointFilms,UnitedKingdom France,The Land Girls
3288,BillyConnolly Carrie-AnneMoss DylanBaker KesunLoder,Romance Comedy Drama Horror,vororte blackhumor satire darkcomedy gore decapitation spoof zombie canuxploitation,LionsGateFilms AstralMedia AnagramPicturesInc.,Canada,Fido
3289,LukeWilson EvaMendes JacobVargas OwenWilson,Comedy Drama Romance,conman releasefromprison independentfilm,,Germany UnitedStatesofAmerica,The Wendell Baker Story
3290,BillNighy EmilyBlunt RupertGrint RupertEverett,Action Comedy,londonengland mother robbery detective assassin hitman insomnia apprentice remake revenge murder gangster crime art surveillance,MatadorPictures IsleofManFilm MagicLightPictures CinemaNX CinemaFour RegentCapital EntertainmentFilmDistributors,France UnitedKingdom,Wild Target
3291,MiloVentimiglia AlyssaMilano MichaelWeston LaurenLeeSmith,Crime Horror Thriller,femalenudity pathology studentofmedicine extortion druguse game cadaver perfectmurder,LakeshoreEntertainment Metro-Goldwyn-Mayer(MGM) CamelotPictures,UnitedStatesofAmerica,Pathology
3292,TomHardy CharlotteRiley AndrewLincoln SarahLancashire,Drama,womandirector,,,Wuthering Heights
3293,JamesMarsden BrianDennehy LeoRossi DennisHopper,Action Crime Drama Mystery Thriller,undercover mafia mobster crimefamily,Thinkfilm,UnitedStatesofAmerica,10th & Wolf
3294,JamieBell BillPullman MichaelAngarano DansoGordon,Comedy Crime Drama Romance,underdog secretsociety friendship pistol selfesteem,ZentropaEntertainments NimbusFilmProductions LuckyPunch,Denmark France UnitedKingdom,Dear Wendy
3295,JenniferConnelly MélanieLaurent CillianMurphy WilliamShimell,Drama,newage womandirector healer,ArcadiaMotionPictures WandaVisiónS.A. BuffaloGalPictures,France UnitedStatesofAmerica Spain,Aloft
3296,MitsuoIwata NozomuSasaki MamiKoyama TesshouGenda,ScienceFiction Animation,savingtheworld totaldestruction megacity streetgang underground general stadium experiment atomicbomb mutation dystopia army cyberpunk anime motorcyclegangs,BandaiVisualCompany TohoCompany MainichiBroadcastingSystem(MBS) Kodansha TokyoMovieShinsha(TMS) TMSEntertainment AkiraCommitteeCompanyLtd. SumitomoCorporation,Japan,アキラ
3297,PaulWalker LaurenceFishburne OliviaWilde JasonLewis,Drama Action Thriller Crime,vineyard rifle drugtrade violence shotinthestomach doublecross estate faceslap tdruglord fakeddeath bajacalifornia sanremo landfill gallop rollingeyes boobytrap goldengun,Eclecticpictures MillenniumFilms,Germany UnitedStatesofAmerica,The Death and Life of Bobby Z
3298,RoyDupuis MichelBarrette RémyGirard TonyCalabretta,Drama,quebec sport icehockey hockeyplayer montrealcanadiens,,Canada,Maurice Richard
3299,Jean-ClaudeVanDamme BradCarter JoshHenderson AlfredMolina,Action Drama Thriller,,GrandPeaksEntertainment ExchangePeaksFilmCapital FilmInvaders,UnitedStatesofAmerica,Swelter
3300,ZhangZiyi LeehomWang RubyLin YaoChen,Comedy Romance,hongkong macau womandirector,BonaInternationalFilmGroup,China,非常幸运
3301,PiperPerabo LenaHeadey MatthewGoode CeliaImrie,Drama Comedy Romance,londonengland flowershop homosexuality lesbian lgbt,BBCFilms FilmstiftungNordrhein-Westfalen X-FilmeCreativePool EalingStudios FragileFilms FocusFeatures RTL CougarFilmsLtd. MinotaurFilmPartnershipNo.3,Germany UnitedKingdom UnitedStatesofAmerica,Imagine Me & You
3302,EddieMurphy BrittRobertson NataschaMcElhone XavierSamuel,Drama,cook friendship,EnvisionMediaArts CinelouFilms ShenghuaEntertainment,UnitedStatesofAmerica,Mr. Church
3303,CharlotteRampling LudivineSagnier CharlesDance Jean-MarieLamour,Thriller Crime,londonengland femalenudity women countryside basedonnovel subway provence countryhouse writing innkeeper generationsconfilct dyinganddeath daughter swimmingpool murder suspense author drug,France2Cinéma CanalPlus FidélitéProductions Gimages FOZ HeadforceLtd.,France UnitedKingdom,Swimming Pool
3304,ScottAdkins JoeyAnsah KaceyClarke MarkWingett,Action Drama,,TeaShop&FilmCompany,UnitedStatesofAmerica,Green Street Hooligans: Underground
3305,RutgerHauer JoanChen DelroyLindo AnnaKatarina,Action Adventure ScienceFiction,martialarts post-apocalyptic sport revenge independentfilm blood violence desert combat,HandistomInvestment KingsRoadEntertainment KamishaCorporation,UnitedStatesofAmerica Australia,The Blood of Heroes
3306,StevenSeagal CraigSheffer LouisMandylor HelenaMattsson,Action Crime Thriller,,SteamrollerProductions PremiereEntertainmentGroup,UnitedStatesofAmerica,Code of Honor
3307,MorganFreeman JessicaTandy DanAykroyd PattiLuPone,Comedy Drama,individual blackpeople chauffeur atlanta widow antisemitism jewish africanamerican car oldage,TheZanuckCompany MajesticFilmsInternational,UnitedStatesofAmerica,Driving Miss Daisy
3308,VivicaA.Fox NiaLong MichaelBeach MekhiPhifer,Comedy Drama,sister familyrelationships unity,Fox2000Pictures EdmondsEntertainmentGroup(EEG),UnitedStatesofAmerica,Soul Food
3309,JackieChan AnitaMui FrançoiseYip BillTung,Crime Action Comedy Thriller,newyork martialarts supermarket gangwar disabledchild gang wedding diamond bronx duringcreditsstinger,NewLineCinema GoldenHarvestCompany,HongKong,紅番區
3310,ViggoMortensen RedaKateb DjemelBarek VincentMartin,Drama War,fire classroom hostage rain horse rifle children teacher school ruralsetting schoolteacher basedonshortstory algeria journey 1950s algerianwar mountain,Procirep Canal+ OneWorldFilms Pathé Ciné+ CentreNationaldelaCinématographie(CNC) MediaProgrammeoftheEuropeanCommunity BackupMedia Cinémage8 Indéfilms2 PercevalPictures KaléoFilms JourorDéveloppement BMedia2012 SofiTVCiné Dévelopimage2 Ciclic-RégionCentre,France,Loin des hommes
3311,AaronEckhart MariaBello CameronBright AdamBrody,Comedy Drama,fathersonrelationship capitalism basedonnovel smoking lie cigarette research law health marketing politics politician tobacco liar darkcomedy cancer independentfilm money morality socialsatire cigarettesmoking business advertising guilt humiliation lobby bribe corporation lungcancer lobbyist tobaccoindustry nicotine,FoxSearchlightPictures Room9Entertainment,UnitedStatesofAmerica,Thank You for Smoking
3312,LaurenGerman BijouPhillips HeatherMatarazzo RichardBurgi,Horror,prague bratislava castration ladies'man student torture penis tortureporn,LionsGateFilms NextEntertainment ScreenGems,UnitedStatesofAmerica,Hostel: Part II
3313,CareyMulligan OliviaWilliams PeterSarsgaard AlfredMolina,Drama Romance,adolescence agedifference self-discovery comingofage loveaffair youth family womandirector teachingthewaysoftheworld parentsandchildren loveandromance teenagelife,BBCFilms,UnitedKingdom UnitedStatesofAmerica,An Education
3314,SteveMartin ClaireDanes JasonSchwartzman BridgetteWilson,Comedy Drama Romance,salesclerk,EpsilonMotionPictures HydeParkFilms Shopgirl TouchstonePictures,UnitedStatesofAmerica,Shopgirl
3315,RobLowe JodieFoster PaulMcCrane BeauBridges,Comedy Drama,suicide bomb prostitute rape sex hotel basedonnovel terrorist fight nudity satire,OrionPictures WoodfallFilmProductions FilmlineProductions,Canada UnitedKingdom UnitedStatesofAmerica,The Hotel New Hampshire
3316,JasonPatric RayLiotta ChiMcBride BustaRhymes,Action Crime Drama Thriller,assertion investigation internalaffairs narcoticscop,ParamountPictures LionsGateFilms Cruise/WagnerProductions,Canada UnitedStatesofAmerica,Narc
3317,PaulGross MollyParker LeslieNielsen PollyShannon,Comedy,sport,,Canada,Men with Brooms
3318,LarrytheCableGuy IvanaMiličević JennyMcCarthy YaphetKotto,Action Adventure Comedy Crime,,ParallelFilms,UnitedStatesofAmerica,Witless Protection
3319,SamHennings BrendaStrong EricJohnson AlexanderCarroll,Drama Romance,,,,The Work and the Glory
3320,JasonBateman MilaKunis KristenWiig BenAffleck,Comedy,infidelity conman thief independentfilm business manufacturing industrialaccident duringcreditsstinger sexlessmarriage misfortune,MiramaxFilms,UnitedStatesofAmerica,Extract
3321,BobDylan JeffBridges PenélopeCruz JohnGoodman,Drama Music,journalist musical concert independentfilm,BBCFilms IntermediaFilms,UnitedStatesofAmerica UnitedKingdom,Masked and Anonymous
3322,SandrineKiberlain NicoleGarcia MathildeSeigner LuckMervil,Drama Thriller Crime Foreign,,,,Betty Fisher et autres histoires
3323,TimRobbins SamanthaMorton NabilElouahabi OmPuri,Drama Romance ScienceFiction Thriller,seattle shanghai future insurancesalesman dystopia,BBCFilms,UnitedKingdom,Code 46
3324,BobHoskins JennyAgutter PhilDavis VincentRegan,Comedy,racehorse,,UnitedKingdom,Outside Bet
3325,GlennClose MiaWasikowska AaronTaylor-Johnson PaulineCollins,Drama,butler dublin maid,ChrysalisFilms,UnitedKingdom Ireland,Albert Nobbs
3326,RazaaqAdoti SarahWayneCallies MickeyRourke KimBasinger,Drama Action Crime,,Wells&JetaEntertainment,UnitedStatesofAmerica Nigeria,Black November
3327,SaifAliKhan RaniMukerji AngelinaIdnani AngelinaIdnani,Family Comedy Romance,newyork fromragstoriches familyrelationships bollywood racer starvation,YashRajFilms,India,Ta Ra Rum Pum
3328,ChiaraMastroianni DanielleDarrieux CatherineDeneuve SimonAbkarian,Animation Drama,civilwar parentskidsrelationship 1970s puberty totalitarianregime cuttingthecord punk bombalarm war adultanimation punkband womandirector,SonyPicturesClassics Procirep Soficinéma France3Cinéma DiaphanaFilms SoficaEuropacorp CelluloidDreams TheKennedy/MarshallCompany RégionIle-de-France CentreNationaldelaCinématographie(CNC) FondationGANpourleCinéma 2.4.7.Films FrenchConnectionAnimations SociétédesProducteursdeL'Angoa,France UnitedStatesofAmerica,Persepolis
3329,ChrisMassoglia HaleyBennett NathanGamble BruceDern,Thriller Adventure Fantasy,basement hole littlebrother,BoldFilms BenderSpink,UnitedStatesofAmerica,The Hole
3330,JürgenVogel FrederickLau MaxRiemelt JenniferUlrich,Drama Thriller,dictator trainer classroom fascism groupdynamics education nationalsocialism training squatter anarchist group gymnasium learningandteaching violenceinschools homepage socialexperiment,ConstantinFilmProduktion,Germany,Die Welle
3331,ElleFanning KarlGlusman JenaMalone BellaHeathcote,Thriller Horror,model,BoldFilms AmazonStudios VendianEntertainment SpaceRocketNation,Denmark France UnitedStatesofAmerica,The Neon Demon
3332,MichaelCaine EmilyMortimer IainGlen LeeOakes,Thriller Crime Drama Action,self-defense widower,HanWayFilms UKFilmCouncil MarvFilms,UnitedKingdom,Harry Brown
3333,CasperVanDien MichaelYork CatherineOxenberg MichaelIronside,Horror Thriller,bible suspense biblicalcode revelation(book),CodeProductions,,The Omega Code
3334,EllenPage MichaelCera JenniferGarner JasonBateman,Comedy Drama Romance,sexuality becominganadult puberty firsttime oscaraward pregnancyandbirth pregnantminor precocity partnership teenager teenagepregnancy,FoxSearchlightPictures MandatePictures,UnitedStatesofAmerica,Juno
